symbol,fiscal_year,company_name,announcement_id,date_title,date_publish,audited,predictive_value_score,confirmatory_value_score,faithful_representation_score,neutrality_score,completeness_score,understandability_score,comparability_score,timeliness_score,conservatism_score,usefulness_index_weighted_mean,usefulness_index_0_100,indicator_count_used,index_status,annual_stock_return_raw,next_year_stock_return_raw,net_income,operating_cash_flow,total_assets,extracted_item_count,mean_match_score,link,index_Entropy,index_PCA,index_CRITIC,index_StatisticalConsensus,index_PSO,index_KH,index_Cultural,index_FinalRobust,final_rank_within_year,final_percentile_within_year,weighting_status
خمحرکه,1396,نیرو محرکه,861e739bb7ad251911a14e37,۱۳۹۶/۱۲/۲۹,۱۳۹۷/۰۳/۱۰,True,,,1.0,1.0,1.0,0.8329925017041601,1.0,0.9619565217391304,1.0,0.9707070033490416,97.07070033490416,7,baseline_provisional,-0.0786052009456265,0.4127086007702183,0.0,0.0,3532689.0,27.0,0.9896296296296296,https://codal.ir/Reports/Decision.aspx?LetterSerial=RfQldb54V5n8TiyqyU%2bjFQ%3d%3d&rt=0&let=6&ct=0,0.4477815181924262,0.8928560920098265,0.8447701008131949,0.6462758095028105,0.911931270230278,0.8587578586042879,0.9143997842594267,0.6462758095028105,75,73.85159010600707,final_robust_provisional
خمحرکه,1397,نیرو محرکه,bce2a4b6be0b7dd8ec20eb07,۱۳۹۷/۱۲/۲۹,۱۳۹۸/۰۳/۱۳,False,0.0,,,,1.0,1.0,0.9999999759322402,0.9687255668491008,,0.7937451085562681,79.37451085562681,5,baseline_provisional,0.4127086007702183,7.010217681030653,0.008726,,3.383621,26.0,0.9946153846153846,https://codal.ir/Reports/Decision.aspx?LetterSerial=FgjfGDhDKTsBhwcgnWQH6Q%3D%3D&rt=0&let=6&ct=0,0.29393540988557604,0.8152106272489215,0.7017145114417009,0.49782496066363846,0.8550663787591087,0.7994421240819063,0.46155238875243865,0.49782496066363846,137,4.225352112676056,final_robust_provisional
خمحرکه,1398,نیرو محرکه,227ddba4323282d1ac77e4bd,۱۳۹۸/۱۲/۲۹,۱۳۹۹/۰۴/۰۳,False,0.9999994407408777,2.3738476605819492e-07,0.7208138058921325,0.7208138058921325,0.7857142857142857,0.4975755699989719,0.9502130756806763,0.9308617234468938,0.6808070153389046,0.6985332177877379,69.85332177877379,9,baseline_provisional,7.010217681030653,-0.7484952708512468,564961.0,-371947.0,4861148.0,27.0,0.9807407407407408,https://codal.ir/Reports/Decision.aspx?LetterSerial=C4CwoZ86A18PkDytbQpQnQ%3D%3D&rt=0&let=6&ct=0&ft=-1,0.298346960730989,0.7007861373923239,0.6820954558341692,0.4902212082825791,0.7253926987179918,0.6600542876699893,0.9087884588073915,0.4902212082825791,180,16.355140186915886,final_robust_provisional
خمحرکه,1399,نیرو محرکه,d092d70de1730c1b343014be,۱۳۹۹/۱۲/۳۰,۱۴۰۰/۰۳/۱۰,False,0.9999995341474941,3.0800489561274475e-10,0.5785263941099089,0.5785263941099089,0.75,0.504157218442935,0.690050171190468,0.9533799533799534,0.5267709099275222,0.6201567306240219,62.015673062402186,9,baseline_provisional,-0.7484952708512468,-0.349685534591195,2140356.0,-1021293.0,14372882.0,27.0,0.9807407407407408,https://codal.ir/Reports/Decision.aspx?LetterSerial=9xNsmU3IaFFtMvgpO7l6fw%3D%3D&rt=0&let=6&ct=0&ft=-1,0.270564088628803,0.614760714404583,0.6122589916143789,0.4414115401215909,0.7034334198704316,0.6127685924796462,0.9093164883772981,0.4414115401215909,238,9.885931558935361,final_robust_provisional
خمحرکه,1400,نیرو محرکه,bb17d568edaa509786e8e9aa,۱۴۰۰/۱۲/۲۹,۱۴۰۱/۰۳/۱۵,False,0.9999998938742091,0.5383156754959402,0.9999997701996435,0.9999997701996435,0.7272727272727273,0.17380352644837097,0.707835617453151,0.9451728247914184,0.6849741977398358,0.7530415559416599,75.30415559416599,9,baseline_provisional,-0.349685534591195,1.1423989737010904,0.927157,-0.280601,17.067495,27.0,0.9807407407407408,https://codal.ir/Reports/Decision.aspx?LetterSerial=xpdaPLwbTPxLiddNMuASUw%3d%3d&rt=0&let=6&ct=0&ft=-1,0.6135310940348607,0.7541849732180219,0.7347345645609066,0.6741328292978835,0.6507397886449865,0.5784431048459611,0.8756481420753398,0.6741328292978835,30,89.13857677902621,final_robust_provisional
خمحرکه,1401,نیرو محرکه,2c63fe0786ca9a9f2f652337,۱۴۰۱/۱۲/۲۹,۱۴۰۲/۰۳/۰۸,False,,0.3344595320463138,0.6855539248395188,0.6855539248395188,0.8148148148148148,0.8108474576271164,0.6698637749333181,0.9276595744680851,0.4432357205802524,0.6714985905186173,67.14985905186172,8,baseline_provisional,1.1423989737010904,,1.134322,-2.036554,23.432618,25.0,0.9815999999999999,https://codal.ir/Reports/Decision.aspx?LetterSerial=RRhmHcDNfPA5XQQQaQQQtAg6iuew%3d%3d&rt=0&let=6&ct=0&ft=-1,0.4888116432967746,0.6898727692416403,0.6895438601854974,0.589177751741136,0.7900407305131197,0.7215232073766793,0.8769177250125115,0.589177751741136,50,80.7843137254902,final_robust_provisional
خمحور,1392,تولیدمحورخودرو,5c65cac9c0a43fb133ed13ae,۱۳۹۲/۱۲/۲۹,۱۳۹۳/۰۲/۱۳,True,0.651185886718485,,0.8448411943865813,0.8448411943865813,1.0,0.9102744546094259,,0.9811320754716981,0.7784034298552451,0.8586683193468596,85.86683193468596,7,baseline_provisional,1.0646797717184526,-0.2896191646191646,3601.0,85271.0,841949.0,29.0,0.9917241379310344,https://codal.ir/Reports/Decision.aspx?LetterSerial=kMLzn0OnkL6giIs09AbkaA%3d%3d&rt=0&let=6,0.37366903869313106,0.7968688264540631,0.7487874085862807,0.5612282236397058,0.8894518911850287,0.8084767338418456,0.8026132206072668,0.5612282236397058,61,69.0721649484536,final_robust_provisional
خمحور,1393,تولیدمحورخودرو,f33f68507a9ef5e357a32045,۱۳۹۳/۱۲/۲۹,۱۳۹۴/۰۲/۱۶,True,,0.48653512127300075,0.7492901245207738,0.7492901245207738,1.0,0.9522237587545145,,0.9862068965517241,0.5096688637408517,0.7761735556230913,77.61735556230913,7,baseline_provisional,-0.2896191646191646,-0.3617021276595744,0.0,114697.0,1072270.0,29.0,0.9917241379310344,https://codal.ir/Reports/Decision.aspx?LetterSerial=VAEms5glZTqMgEz1lANMrw%3d%3d&rt=0&let=6,0.5988025517103875,0.7778958394747573,0.7650282447395395,0.6819153982249635,0.8997439948387557,0.8130737319155276,0.8373391168792174,0.6819153982249635,43,81.81818181818183,final_robust_provisional
خمحور,1394,تولیدمحورخودرو,fd8d7f5e37077235ad0ec654,۱۳۹۴/۱۲/۲۹,۱۳۹۵/۰۲/۱۵,True,,,1.0,1.0,1.0,0.6112325467279323,,0.9827586206896551,0.1644427147373745,0.7930723136924936,79.30723136924937,6,baseline_provisional,-0.3617021276595744,0.75,0.0,0.0,1112956.0,29.0,0.9820689655172414,https://codal.ir/Reports/Decision.aspx?LetterSerial=yFAW218vANsrnIF96uj1kQ%3d%3d&rt=0&let=6,0.19836870427852088,0.6456007679107421,0.544269865141973,0.37131928471024694,0.7042696617146152,0.5242231457553307,0.4314590481084359,0.37131928471024694,191,22.448979591836736,final_robust_provisional
خمحور,1395,تولیدمحورخودرو,5700be4d96d4b5b0dc831517,۱۳۹۵/۱۲/۳۰,۱۳۹۶/۰۲/۱۲,True,,,1.0,1.0,1.0,0.8965188364329985,1.0,0.9807877041306436,1.0,0.9824723629376632,98.24723629376632,7,baseline_provisional,0.75,-0.3060498220640569,0.0,0.0,1313670.0,27.0,0.9896296296296296,https://codal.ir/Reports/Decision.aspx?LetterSerial=1uE3%2bf9BkFzpuOcj3A3GcA%3d%3d&rt=0&let=6,0.6180352878354406,0.9239878670438024,0.8879306741291061,0.7529829809822735,0.9384901582534344,0.9022067063454435,0.9200014115846374,0.7529829809822735,21,92.7536231884058,final_robust_provisional
