fiscal_year,count,mean,std,median
1392,194,52.999418995800575,3.777643815064382,54.17007584963544
1393,231,61.99676479065501,10.01978519459757,64.59491485924335
1394,245,36.02492228591694,7.122502537291156,35.09125170635947
1395,276,71.70669417536232,7.39008106756034,73.95968631680248
1396,283,61.141698019580055,6.013832523646481,62.94329825707492
1397,142,58.2674464597227,6.432667103318548,58.50007364767491
1398,214,53.883148816252856,9.652277485159086,51.90727628125994
1399,263,54.56359418121196,10.004834198987389,52.861872483724035
1400,267,47.50958893738571,12.247838218371777,44.30159946462428
1401,255,53.60695355862076,12.211248142837219,49.94829262729003
