Measure,N,Mean,SD,Min,P1,P2,P5,Median,P95,P98,P99,Max
Raw confirmatory proxy,692,0.26757202244951306,0.3216662823630932,0.0,4.440892098500626e-16,1.232347557333924e-15,8.289187669596744e-11,0.07235829521120257,0.884965724329676,0.9454296504293807,0.9770843170623609,0.9975174192958102
Normalized 1st/99th winsorization,692,0.2828364069506414,0.3364124666679235,0.0,0.0,1.3970577839380262e-17,3.413682147459738e-11,0.08217822652660879,0.9279908720229717,0.9954753540124655,1.0,1.0
Normalized 2nd/98th winsorization,692,0.29262515590180893,0.34681232219024105,0.0,0.0,0.0,1.8894811872051216e-11,0.08435425998014273,0.9536181046301928,1.0,1.0,1.0
