Year,N,Primary diagnostic FIUI,Predictive value mean,Predictive value contribution,Confirmatory value mean,Confirmatory value contribution,Faithful representation mean,Faithful representation contribution,Structured-data completeness mean,Structured-data completeness contribution,Extraction confidence mean,Extraction confidence contribution,Accounting-return mapping stability mean,Accounting-return mapping stability contribution,Timeliness mean,Timeliness contribution,Conservatism mean,Conservatism contribution
1392,194,52.92885250331305,0.6886780168699294,9.64256675727507,0.0864930795036992,3.32342080763874,0.8159720491802532,6.156394798525968,0.9633447880870561,7.83842362249884,0.8755130859074248,9.687161915459821,0.915624633524684,5.484362806968549,0.913063377461469,3.744309849651751,0.6567739364680577,7.052211945294312
1393,231,61.93896846862981,0.7195727620404061,10.075141393691247,0.39211587376728685,15.066708936267116,0.7201756131340277,5.433624109033849,0.8533549783549783,6.943472268114016,0.8919440594191667,9.868963311005958,0.9156246335246842,5.484362806968549,0.9299810206214147,3.8136860829782826,0.4892138515069035,5.253009560570795
1394,245,35.96712596389021,0.025141207847007095,0.35201613683725397,0.03581783924758517,1.3762690948585425,0.9209582737353014,6.948501154885728,0.7899814471243043,6.4278224297772235,0.8350742233194322,9.239723932096158,0.9156246335246842,5.484362806968549,0.92205571883926,3.7811858357261285,0.21953066772048302,2.357244572740628
1395,276,71.11077110719744,0.825295867205255,11.555429822196452,0.4036852102408422,15.511250554942436,0.9801771628673616,7.395299377194155,0.8925120772946861,7.262080862994163,0.8465077785380067,9.366231122513407,0.9540449662479501,5.714491001540715,0.919193501232093,3.769448392474207,0.9812701162026701,10.536539973341908
1396,283,77.16089489763868,0.8796680384387188,12.316725054530965,0.5565712001302214,21.38576078061983,0.9806727951860135,7.399038853603421,0.8908519827247742,7.248573212718483,0.7883945023737794,8.72323363372404,0.9478965513938318,5.677663532605181,0.9368534593127464,3.8418687267227116,0.9842028915396447,10.56803110311405
1397,142,58.26744636791587,0.95801106088469,13.413649604751733,0.014084509660360796,0.541184944960018,0.9859154929577465,7.438594273822245,0.8838028169014084,7.1912164401568095,0.8696798827203724,9.622620123145905,0.9186847336182199,5.502692042032905,0.9502472221916329,3.896794156336091,0.9928326789153011,10.660694782710165
1398,214,53.819565799933685,0.9371927305242819,13.122160497566892,0.1168839226891701,4.491162333132237,0.8646747689219801,6.523849996033353,0.7613484646194927,6.19484515183504,0.5323972335181092,5.890737999749478,0.900101761880438,5.391384683853477,0.9090798419268443,3.7279740818322136,0.7895067454593827,8.477451055931
1399,263,54.49926095450384,0.9628845337587084,13.481885828903442,0.21251539807292233,8.165717996767281,0.753660669423991,5.686264167696374,0.7237008871989861,5.8885190432267835,0.5265673713210095,5.826233173999684,0.7480918607496926,4.480883352272656,0.9180825511623991,3.764892584639716,0.6709905286056609,7.2048648069979055
1400,267,47.51090330785673,0.9686539408717211,13.562666530297065,0.1423498263191841,5.469667370702229,0.7995028344383497,6.0321368805314455,0.6949267960503916,5.654393610085711,0.22606313631172534,2.501287804623294,0.6960145042840282,4.168952997378121,0.9122550923383912,3.7409952167112848,0.5942454749438305,6.380802897527575
1401,255,55.25980820023616,0.9999995240631883,14.001553602434477,0.15387867914140413,5.912653440540706,0.7513775129904469,5.6690380722611025,0.8451706608569354,6.876879135100779,0.7952416144109848,8.79899387537589,0.7523001347025063,4.506089861909144,0.8745014601585316,3.586174313452416,0.5502529087645369,5.9084258991616325
