fiscal_year,count,mean,std,median
1392,194,52.99941899579599,3.777643815064545,54.17007584963336
1393,231,61.996764790652136,10.019785194598752,64.59491485924018
1394,245,36.024922285912524,7.122502537292386,35.09125170635458
1395,276,71.7066941753592,7.390081067560731,73.95968631679916
1396,283,61.141698019575244,6.013832523646724,62.943298257069834
1397,142,58.26744645971743,6.4326671033190275,58.50007364767005
1398,214,53.88314881624695,9.65227748516032,51.907276281252365
1399,263,54.56359418120719,10.00483419898859,52.86187248371783
1400,267,47.50958893737921,12.247838218373207,44.30159946461546
1401,255,53.606953558616446,12.21124814283877,49.94829262728482
