component,Entropy,CRITIC,Primary,Equal,PCA,rank
Confirmatory value,0.6305946977820931,0.1378877812112932,0.38424123949669314,0.125,0.12411736620095705,1
Predictive value,0.09919182902563616,0.18083937630021255,0.14001560266292434,0.125,0.1193732636249212,2
Understandability,0.07742648384748939,0.14386459840788496,0.11064554112768718,0.125,0.13529195319541418,3
Conservatism,0.08044515301989098,0.1343079470564944,0.10737655003819269,0.125,0.13618820892843378,4
Completeness,0.04405121262735457,0.11868229087898294,0.08136675175316875,0.125,0.13009200323858708,5
Faithful representation,0.03411825769508162,0.11677894043102686,0.07544859906305425,0.125,0.12910181390039507,6
Comparability,0.022413300889782304,0.09738170256827394,0.05989750172902812,0.125,0.1104948496396198,7
Timeliness,0.011759065112671923,0.0702573631458312,0.04100821412925156,0.125,0.11534054127167201,8
